Domain ending,SUM of votes
com,356363
io,68445
info,68011
in,26927
ai,22493
app,21051
co,11570
tech,6112
money,4624
org,2870
network,2203
id,2132
dev,2123
clinic,1862
net,1814
xyz,1533
africa,1338
it,1064
uk,1017
group,938
es,811
cl,671
skin,630
finance,565
au,537
de,513
cloud,510
me,504
security,499
online,440
eu,408
br,397
care,380
studio,334
ch,330
ca,293
work,275
healthcare,262
az,246
club,243
us,241
ua,235
live,215
pro,214
hr,197
events,187
store,180
sh,179
za,167
sa,165
bio,162
so,159
nl,156
one,152
gg,151
health,148
world,148
fr,130
space,129
biz,126
ru,122
se,119
la,118
ag,108
jp,99
to,97
nz,96
fi,95
io ,91
vc,91
games,89
asia,85
house,85
co ,77
earth,75
ar,73
digital,72
works,66
tv,64
chat,63
eco,62
team,60
vn,60
agency,58
cc,58
dk,58
ro,58
sg,58
social,58
be,57
ly,57
mx,53
no,53
technology,53
global,51
site,51
green,50
insure,50
life,50
aero,49
pt,49
hk,43
ee,42
at,41
host,41
is,41
pk,41
software,41
place,40
ae,39
ph,39
build,38
fit,38
kr,38
ink,36
website,36
ng,34
zone,34
media,33
sk,33
link,31
qa,31
top,31
art,30
ma,30
trade,30
homes,29
my,28
fund,27
im,27
systems,27
video,26
today,25
city,24
in ,24
com ,23
company,23
solutions,23
exchange,22
cz,19
pl,19
run,19
guru,18
hu,18
ie,18
market,18
shop,18
design,17
energy,17
tools,17
ventures,17
cm,16
fm,16
ke,16
land,16
ltd,16
pm,16
cx,15
farm,15
casino,14
financial,14
llc,14
ooo,14
vision,14
cash,13
inc,13
travel,13
capital,12
do,12
doctor,12
ms,12
red,12
vip,12
careers,11
education,11
fish,11
jobs,11
cn,10
de ,10
law,10
marketing,10
nyc,10
tr,10
academy,9
ci,9
construction,9
delivery,9
edu,9
email,9
fans,9
fun,9
gr,9
li,9
ninja,9
partners,9
st,9
tz,9
vet,9
al,8
auto,8
blue,8
foundation,8
limited,8
page,8
community,7
ge,7
mt,7
rocks,7
am,6
buzz,6
deals,6
dental,6
immo,6
investments,6
lat,6
mobi,6
re,6
sl,6
ws,6
ac,5
army,5
bi,5
cards,5
family,5
garden,5
guide,5
nu,5
pe,5
photos,5
plus,5
science,5
si,5
tax,5
th,5
trading,5
watch,5
accountant,4
business,4
cab,4
cam,4
click,4
coach,4
com?utm_source=angelist\u0026utm_medium=profile_listing\u0026utm_campaign=company_page\u0026utm_content=landing_page,4
consulting,4
contact,4
country,4
credit,4
day,4
engineering,4
express,4
fan,4
fitness,4
glass,4
gov,4
gs,4
holdings,4
institute,4
jewelry,4
kz,4
lk,4
lv,4
mba,4
news,4
pet,4
pn,4
pw,4
services,4
ski,4
tn,4
training,4
university,4
bd,3
center,3
gmbh,3
ir,3
md,3
menu,3
mn,3
properties,3
rs,3
wtf,3
bet,2
codes,2
dating,2
direct,2
directory,2
dz,2
expert,2
game,2
ist,2
kg,2
ml,2
name,2
party,2
rent,2
school,2
sn,2
stream,2
uy,2
uz,2
af,1
apartments,1
audio,1
bar,1
best,1
bg,1
bid,1
bike,1
camera,1
coffee,1
cool,1
coop,1
diamonds,1
eg,1
film,1
fyi,1
google,1
help,1
how,1
il,1
industries,1
legal,1
lol,1
lt,1
luxe,1
mil,1
mk,1
nc,1
ovh,1
rehab,1
rentals,1
rest,1
reviews,1
sale,1
sc,1
shopping,1
srl,1
study,1
swiss,1
tc,1
tips,1
tw,1
ve,1
vu,1
wang,1
wiki,1
win,1
wine,1
